Parametro,Prehash,Keygen_tiempo,Keygen_ciclos,Tamaño_clave_pub,Tamaño_clave_priv,Firma_tiempo,Firma_ciclos,Tamaño_firma,Verificacion_tiempo,Verificacion_ciclos,Tiempo total,Ciclos_totales
SLH-DSA-SHA2-128s,No,2,0.0400717,112327813,32,64,0.236374,662599826,7856,0.000240628,674411,7922,0.27668632800000004
SLH-DSA-SHA2-128f,No,2,0.000624012,1748861,32,64,0.0123855,34718139,17088,0.000687253,1926367,17154,0.013696765000000001
SLH-DSA-SHA2-192s,No,2,0.047281,132535875,48,96,0.497978,1395922619,16224,0.000453229,1270340,16322,0.5457122289999999
SLH-DSA-SHA2-192f,No,2,0.000868356,2433802,48,96,0.0218999,61389332,35664,0.0011146,3124299,35762,0.023882856
SLH-DSA-SHA2-256s,No,2,0.0291294,81654536,64,128,0.452265,1267781696,29792,0.000624294,1749854,29922,0.482018694
SLH-DSA-SHA2-256f,No,2,0.00211867,5938276,64,128,0.0415377,116437798,49856,0.00108014,3027698,49986,0.04473651
SLH-DSA-SHAKE-128s,No,128,0.0726592,203676659,32,64,0.544065,1525115759,7856,0.000589844,1653342,8048,0.617314044
SLH-DSA-SHAKE-128f,No,128,0.00139444,3907461,32,64,0.0273714,76726258,17088,0.00161832,4536299,17280,0.03038416
SLH-DSA-SHAKE-192s,No,192,0.10667,299015667,48,96,0.94921,2660814504,16224,0.00081717,2290543,16512,1.0566971699999999
SLH-DSA-SHAKE-192f,No,192,0.00192486,5395384,48,96,0.0432058,121113781,35664,0.00234819,6582305,35952,0.04747885
SLH-DSA-SHAKE-256s,No,256,0.0711006,199307962,64,128,0.835207,2341244304,29792,0.00125627,3521440,30176,0.9075638699999999
SLH-DSA-SHAKE-256f,No,256,0.0051793,14516702,64,128,0.0919528,257759379,49856,0.00240512,6741054,50240,0.09953722
SLH-DSA-SHA2-128s,Sí,2,0.0325992,91381367,32,64,0.230638,646523558,7856,0.000246306,690348,7922,0.263483506
SLH-DSA-SHA2-128f,Sí,2,0.00074657,2092054,32,64,0.011872,33279236,17088,0.000696972,1953575,17154,0.013315542000000001
SLH-DSA-SHA2-192s,Sí,2,0.0495161,138801744,48,96,0.502062,1407376817,16224,0.000464981,1303326,16322,0.552043081
SLH-DSA-SHA2-192f,Sí,2,0.00123934,3473697,48,96,0.022167,62137649,35664,0.00110553,3098828,35762,0.024511869999999998
SLH-DSA-SHA2-256s,Sí,2,0.0301338,84469216,64,128,0.451316,1265124586,29792,0.000627527,1758941,29922,0.482077327
SLH-DSA-SHA2-256f,Sí,2,0.00214659,6016341,64,128,0.0425688,119328049,49856,0.00108639,3045262,49986,0.04580177999999999
SLH-DSA-SHAKE-128s,Sí,128,0.0722383,202497034,32,64,0.54483,1527262920,7856,0.000544061,1524996,8048,0.617612361
SLH-DSA-SHAKE-128f,Sí,128,0.00135108,3786648,32,64,0.0268306,75210586,17088,0.00156988,4400539,17280,0.02975156
SLH-DSA-SHAKE-192s,Sí,192,0.106896,299650370,48,96,0.94952,2661689539,16224,0.000773677,2168656,16512,1.057189677
SLH-DSA-SHAKE-192f,Sí,192,0.00192318,5390038,48,96,0.0435177,121988494,35664,0.00230139,6451148,35952,0.04774227
SLH-DSA-SHAKE-256s,Sí,256,0.0706109,197935495,64,128,0.835482,2342019615,29792,0.0011749,3293385,30176,0.9072678
SLH-DSA-SHAKE-256f,Sí,256,0.00490666,13753484,64,128,0.0884178,247852545,49856,0.00235612,6604542,50240,0.09568058
XMSS-SHA2_10_256,N/A,2,0.255945,717464170,70,140,0.256966,720325943,2500,0.000269052,754019,2642,0.513180052
XMSS-SHA2_16_256,N/A,2,16.4621,46146845868,70,140,19.6073,54963829579,2692,0.000393901,1104034,2834,36.069793901000004
XMSS-SHA2_20_256,N/A,2,477.777,1339076524510,70,140,481.979,1351210202617,2820,0.00042163,1181914,2962,959.75642163
XMSS-SHA2_10_512,N/A,2,1.4375,4030206721,135,269,1.5532,4354571351,9092,0.00255476,7162162,9363,2.99325476
XMSS-SHA2_16_512,N/A,2,85.9159,240865758912,135,269,85.8469,240660519525,9476,0.00286871,8041634,9747,171.76566871
XMSS-SHA2_20_512,N/A,2,1369.05,3837435897935,135,269,1372.99,3848681181042,9732,0.00272028,7624515,10003,2742.04272028
XMSS-SHAKE_10_256,N/A,10,0.477549,1338622358,70,140,0.527184,1477755782,2500,0.000871917,2443813,2650,1.0056049169999999
