Parametro,Prehash,Keygen_tiempo,Keygen_ciclos,Tamaño_clave_pub,Tamaño_clave_priv,Firma_tiempo,Firma_ciclos,Tamaño_firma,Verificacion_tiempo,Verificacion_ciclos,Tiempo total,Ciclos_totales
SLH-DSA-SHA2-128s,No,0.0314508,88161120,32,64,0.231866,649954836,7856,0.000236416,662615,0.26355321600000003,738778571
SLH-DSA-SHA2-128f,No,0.000845301,2369227,32,64,0.0116246,32584931,17088,0.000700657,1963874,0.013170558,36918032
SLH-DSA-SHA2-192s,No,0.0468732,131389604,48,96,0.499025,1398844999,16224,0.000460472,1290669,0.546358672,1531525272
SLH-DSA-SHA2-192f,No,0.000826567,2316669,48,96,0.0219951,61655425,35664,0.00111275,3119049,0.023934417,67091143
SLH-DSA-SHA2-256s,No,0.0296881,83219901,64,128,0.46557,1305061596,29792,0.000607751,1703461,0.49586585099999997,1389984958
SLH-DSA-SHA2-256f,No,0.00226572,6350473,64,128,0.0421508,118154890,49856,0.00124528,3490552,0.0456618,127995915
SLH-DSA-SHAKE-128s,No,0.0728418,204185043,32,64,0.553856,1552541816,7856,0.000575962,1614389,0.627273762,1758341248
SLH-DSA-SHAKE-128f,No,0.00164639,4613719,32,64,0.0272386,76353764,17088,0.00162104,4543922,0.030506030000000003,85511405
SLH-DSA-SHAKE-192s,No,0.106855,299531905,48,96,0.970774,2721229212,16224,0.000806024,2259261,1.078435024,3023020378
SLH-DSA-SHAKE-192f,No,0.00195116,5467518,48,96,0.0437171,122545505,35664,0.00231798,6497552,0.04798624,134510575
SLH-DSA-SHAKE-256s,No,0.0711198,199359397,64,128,0.849991,2382655908,29792,0.00122536,3434772,0.92233616,2585450077
SLH-DSA-SHAKE-256f,No,0.00476213,13348613,64,128,0.089916,252047207,49856,0.00242107,6786536,0.0970992,272182356
SLH-DSA-SHA2-128s,Sí,0.0320773,89917281,32,64,0.23481,658207369,7856,0.000247845,694653,0.267135145,748819303
SLH-DSA-SHA2-128f,Sí,0.000641573,1797947,32,64,0.0120218,33698840,17088,0.000719887,2017821,0.01338326,37514608
SLH-DSA-SHA2-192s,Sí,0.0464684,130256567,48,96,0.499355,1399769032,16224,0.000475931,1333996,0.5462993309999999,1531359595
SLH-DSA-SHA2-192f,Sí,0.000896699,2512737,48,96,0.0221357,62049064,35664,0.00113583,3183789,0.024168229000000003,67745590
SLH-DSA-SHA2-256s,Sí,0.0294912,82667560,64,128,0.45091,1263970188,29792,0.000605012,1695811,0.481006212,1348333559
SLH-DSA-SHA2-256f,Sí,0.00205241,5752236,64,128,0.0418631,117348712,49856,0.00110581,3099637,0.04502132,126200585
SLH-DSA-SHAKE-128s,Sí,0.0727413,203903849,32,64,0.559269,1567712428,7856,0.000576746,1616608,0.632587046,1773232885
SLH-DSA-SHAKE-128f,Sí,0.00139865,3919873,32,64,0.0275565,77245045,17088,0.00156841,4396383,0.03052356,85561301
SLH-DSA-SHAKE-192s,Sí,0.108573,304346137,48,96,0.98157,2751492507,16224,0.000808576,2266445,1.0909515760000001,3058105089
SLH-DSA-SHAKE-192f,Sí,0.00215147,6029595,48,96,0.0432918,121352976,35664,0.00234489,6572979,0.04778816,133955550
SLH-DSA-SHAKE-256s,Sí,0.0725109,203259079,64,128,0.868521,2434597997,29792,0.00120769,3385208,0.94223959,2641242284
SLH-DSA-SHAKE-256f,Sí,0.00470772,13195681,64,128,0.0915461,256617662,49856,0.0024685,6919465,0.09872232,276732808
