Parametro,Prehash,Keygen_tiempo,Keygen_ciclos,Tamaño_clave_pub,Tamaño_clave_priv,Firma_tiempo,Firma_ciclos,Tamaño_firma,Verificacion_tiempo,Verificacion_ciclos,Tiempo total,Ciclos_totales
XMSS-SHA2_10_256,N/A,0.254542,713518302,70,140,0.261158,732065342,2500,0.000270628,758474,0.515970628,1446342118
XMSS-SHA2_16_256,N/A,16.5979,46526463077,70,140,23.828,66793635247,2692,0.000411467,1153121,40.426311467,113321251445
XMSS-SHA2_20_256,N/A,488.045,1368075297605,70,140,482.836,1353548181361,2820,0.00045696,1280809,970.88145696,2721624759775
XMSS-SHA2_10_512,N/A,1.42534,3995618741,135,269,1.51944,4259401469,9092,0.00252537,7079041,2.9473053699999996,8262099251
XMSS-SHA2_16_512,N/A,86.0392,241190642883,135,269,86.4436,242323041061,9476,0.00245308,6876335,172.48525308,483520560279
XMSS-SHA2_20_512,N/A,1371.9,3845712857425,135,269,1374.99,3854264810797,9732,0.00279843,7843773,2746.8927984300003,7699985511995
XMSS-SHAKE_10_256,N/A,0.481893,1350744862,70,140,0.540021,1513679335,2500,0.000912804,2558013,1.022826804,2866982210
XMSS-SHAKE_16_256,N/A,31.917,89463600236,70,140,31.5902,88547907269,2692,0.000787956,2208440,63.507987956,178013715945
XMSS-SHAKE_20_256,N/A,509.769,1428914731305,70,140,508.712,1425976148265,2820,0.000968683,2715018,1018.481968683,2854893594588
XMSS-SHAKE_10_512,N/A,1.56845,4396567445,135,269,1.71567,4809236668,9092,0.00292839,8208018,3.28704839,9214012131
XMSS-SHAKE_16_512,N/A,100.534,281808862426,135,269,100.247,281005873729,9476,0.0030973,8681829,200.7840973,562823417984
XMSS-SHAKE_20_512,N/A,1597.5,4477982853017,135,269,1595.78,4473219538903,9732,0.00305874,8573886,3193.28305874,8951210965806
XMSS-SHA2_10_192,N/A,0.361069,1012136372,54,107,0.366888,1028448384,1492,0.000306451,858754,0.728263451,2041443510
XMSS-SHA2_16_192,N/A,23.5168,65921428785,54,107,23.4212,65653546838,1636,0.000349771,980072,46.938349771000006,131575955695
XMSS-SHA2_20_192,N/A,374.745,1050468867210,54,107,374.048,1048513799446,1732,0.000302163,846782,748.793302163,2098983513438
XMSS-SHAKE256_10_256,N/A,0.496367,1391389541,70,140,0.541062,1516674089,2500,0.000908428,2546131,1.038337428,2910609761
XMSS-SHAKE256_16_256,N/A,31.9487,89557053792,70,140,31.6433,88700760337,2692,0.000969091,2716215,63.592969091,178260530344
XMSS-SHAKE256_20_256,N/A,508.713,1426011160876,70,140,505.402,1416772691511,2820,0.000886212,2483961,1014.115886212,2842786336348
XMSS-SHAKE256_10_192,N/A,0.379534,1063915460,54,107,0.434618,1218328152,1492,0.000709801,1989439,0.8148618009999999,2284233051
XMSS-SHAKE256_16_192,N/A,25.5837,71716586753,54,107,25.7435,72164587893,1636,0.000832883,2334480,51.328032883000006,143883509126
XMSS-SHAKE256_20_192,N/A,408.792,1145924593135,54,107,406.557,1139651278885,1732,0.000712595,1997333,815.3497125949999,2285577869353
